id,set_date,city,unemployment_rate,jobs,in_demand_skills,average_age,college_degree_percentage,unemployment_level,state,job_posting_level,average_age_group,college_degree_percentage_level,set_year
18,8/7/2024,Washington,14.6,4809,"Cybersecurity, JavaScript, SQL, Cloud Computing",46,89,Very High,DC,Very High,Older,High,2024
19,4/25/2024,Jacksonville,4.5,2265,"JavaScript, Python",48,48,Low,FL,Moderate,Older,Low,2024
20,3/17/2025,San Jose,2.3,4694,"Digital Marketing, Customer Service, Cybersecurity, JavaScript, Agile Methodologies",46,46,Very Low,CA,Very High,Older,Low,2025
21,1/12/2024,San Francisco,14.8,4341,"UX/UI Design, Customer Service",28,32,Very High,CA,High,Young,Low,2024
22,5/10/2025,Jacksonville,9.3,4254,"Data Analysis, UX/UI Design",43,38,High,FL,High,Older,Low,2025
23,8/6/2024,Seattle,14.7,3377,"Data Analysis, Customer Service, Sales, Cybersecurity",37,90,Very High,WA,High,Middle-Aged,High,2024
24,12/31/2024,Charlotte,2,1892,"Cybersecurity, Sales, Data Analysis, Project Management",36,51,Very Low,NC,Moderate,Middle-Aged,Moderate,2024
25,9/23/2024,Columbus,14.4,58,"SQL, Machine Learning",44,31,Very High,OH,Very Low,Older,Low,2024
26,3/11/2024,Indianapolis,7.1,3665,"Python, Agile Methodologies, SQL, Sales, Machine Learning",29,37,Moderate,IN,High,Young,Low,2024
27,10/27/2024,Washington,7.9,3613,"Project Management, UX/UI Design, Machine Learning, Python",32,76,Moderate,DC,High,Middle-Aged,High,2024
28,12/19/2024,San Francisco,2.9,3376,"Data Analysis, Machine Learning, Customer Service, Python, Agile Methodologies",39,38,Very Low,CA,High,Middle-Aged,Low,2024
29,6/25/2024,Charlotte,2.5,1377,"Digital Marketing, Customer Service",27,50,Very Low,NC,Low,Young,Low,2024
30,1/3/2025,Philadelphia,7.3,4155,"UX/UI Design, Machine Learning",38,70,Moderate,PA,High,Middle-Aged,Moderate,2025
31,8/24/2024,Houston,13.8,1558,"Machine Learning, Cloud Computing, Customer Service",36,63,Very High,TX,Moderate,Middle-Aged,Moderate,2024
32,12/18/2023,Jacksonville,5.2,3166,"SQL, Machine Learning, Agile Methodologies",41,64,Low,FL,High,Older,Moderate,2023
33,3/26/2025,Columbus,6.8,3716,"Python, SQL, Customer Service, Data Analysis",29,79,Moderate,OH,High,Young,High,2025
34,8/23/2023,Washington,7.5,2534,"Machine Learning, Customer Service",32,47,Moderate,DC,Moderate,Middle-Aged,Low,2023
35,4/3/2025,New York,11.2,1331,"Machine Learning, Data Analysis, Sales, JavaScript",46,65,High,NY,Low,Older,Moderate,2025
36,5/22/2024,Dallas,11.1,476,"Cloud Computing, Machine Learning",48,57,High,TX,Very Low,Older,Moderate,2024
37,9/24/2023,Charlotte,2.5,2826,"UX/UI Design, Project Management, Sales, Data Analysis, Digital Marketing",39,34,Very Low,NC,Moderate,Middle-Aged,Low,2023
38,11/23/2023,Philadelphia,4.2,3353,"Customer Service, Cybersecurity, Cloud Computing, Agile Methodologies",41,84,Low,PA,High,Older,High,2023
39,6/21/2025,San Francisco,7.9,1501,"SQL, Cybersecurity, Machine Learning, Agile Methodologies",50,62,Moderate,CA,Moderate,Older,Moderate,2025
40,12/24/2023,San Antonio,6.1,118,"JavaScript, UX/UI Design, Cybersecurity, Data Analysis",27,35,Moderate,TX,Very Low,Young,Low,2023
41,11/4/2023,New York,5.3,4412,"Data Analysis, Cybersecurity, Machine Learning, UX/UI Design",45,66,Low,NY,High,Older,Moderate,2023
42,5/17/2025,San Jose,2.7,3397,"Digital Marketing, Machine Learning, Cloud Computing, Agile Methodologies",27,56,Very Low,CA,High,Young,Moderate,2025
43,4/17/2024,San Jose,11.5,1660,"Machine Learning, Customer Service, Data Analysis, Agile Methodologies, Python",48,39,High,CA,Moderate,Older,Low,2024
44,4/12/2024,Austin,14.3,159,"Python, Digital Marketing, Project Management, Cloud Computing, Sales",27,57,Very High,TX,Very Low,Young,Moderate,2024
45,10/21/2024,San Francisco,10.5,4747,"Python, Sales, Data Analysis, Project Management",41,61,High,CA,Very High,Older,Moderate,2024
46,12/11/2024,Los Angeles,5.4,961,"Agile Methodologies, UX/UI Design, Python, Cybersecurity, Customer Service",29,31,Low,CA,Low,Young,Low,2024
47,9/9/2023,Denver,12.5,1240,"Cloud Computing, Cybersecurity, Python",27,53,Very High,CO,Low,Young,Moderate,2023
48,7/23/2025,Denver,7.3,4546,"Cloud Computing, JavaScript, Python",30,86,Moderate,CO,Very High,Young,High,2025
49,9/30/2024,Austin,4.8,2590,"Sales, Data Analysis",40,55,Low,TX,Moderate,Middle-Aged,Moderate,2024
50,9/3/2024,Los Angeles,2.4,1069,"Digital Marketing, Project Management",32,39,Very Low,CA,Low,Middle-Aged,Low,2024
51,2/6/2024,San Jose,8.8,801,"JavaScript, Sales",44,48,Moderate,CA,Low,Older,Low,2024
52,10/10/2024,Jacksonville,7.5,4873,"Project Management, UX/UI Design",33,84,Moderate,FL,Very High,Middle-Aged,High,2024
53,9/2/2024,Chicago,12,3985,"Data Analysis, JavaScript, Cybersecurity, Python",25,36,High,IL,High,Young,Low,2024
54,3/6/2024,Houston,5,124,"Python, Customer Service, Cloud Computing",33,33,Low,TX,Very Low,Middle-Aged,Low,2024
55,3/21/2024,Columbus,11.8,4743,"Project Management, Agile Methodologies, Python, Cybersecurity, UX/UI Design",35,66,High,OH,Very High,Middle-Aged,Moderate,2024
56,11/6/2023,Phoenix,8.4,2699,"UX/UI Design, Python, Digital Marketing, Data Analysis",37,75,Moderate,AZ,Moderate,Middle-Aged,High,2023
57,8/3/2024,Indianapolis,8.8,3142,"Python, Machine Learning, Digital Marketing",38,45,Moderate,IN,High,Middle-Aged,Low,2024
58,5/14/2024,Jacksonville,8.2,2353,"Customer Service, Digital Marketing",34,36,Moderate,FL,Moderate,Middle-Aged,Low,2024
59,9/16/2024,Chicago,4.4,3680,"Data Analysis, JavaScript, Project Management",45,34,Low,IL,High,Older,Low,2024
60,10/20/2024,New York,14,1242,"Sales, Agile Methodologies",38,35,Very High,NY,Low,Middle-Aged,Low,2024
61,6/9/2024,Philadelphia,6.9,1879,"UX/UI Design, JavaScript, Cloud Computing, Agile Methodologies, Machine Learning",40,72,Moderate,PA,Moderate,Middle-Aged,High,2024
62,12/22/2023,Washington,7.1,2931,"Customer Service, UX/UI Design, Digital Marketing",25,72,Moderate,DC,Moderate,Young,High,2023
63,9/26/2024,Columbus,10.3,2299,"SQL, Project Management, JavaScript, Sales",46,89,High,OH,Moderate,Older,High,2024
64,3/16/2025,Dallas,10.3,4407,"Sales, Python",29,82,High,TX,High,Young,High,2025
65,1/8/2024,Chicago,14.7,3222,"Agile Methodologies, SQL, Sales, Customer Service, Digital Marketing",29,79,Very High,IL,High,Young,High,2024
66,12/31/2023,Chicago,8.7,3163,"Cloud Computing, Customer Service, Project Management, Cybersecurity",45,84,Moderate,IL,High,Older,High,2023
67,12/31/2023,Los Angeles,10,1054,"Cybersecurity, Machine Learning, JavaScript, SQL, Data Analysis",48,54,High,CA,Low,Older,Moderate,2023
68,1/26/2024,San Antonio,7.2,3376,"UX/UI Design, SQL, Cloud Computing, JavaScript",26,73,Moderate,TX,High,Young,High,2024
69,6/22/2025,Dallas,13.3,302,"Digital Marketing, Agile Methodologies, Customer Service, SQL, UX/UI Design",49,52,Very High,TX,Very Low,Older,Moderate,2025
70,11/28/2023,Chicago,9.8,1935,"Python, Sales",46,59,High,IL,Moderate,Older,Moderate,2023
71,11/1/2024,San Diego,13.7,4140,"Data Analysis, Cloud Computing, UX/UI Design, Machine Learning",46,45,Very High,CA,High,Older,Low,2024
72,5/7/2024,Los Angeles,6.4,2012,"Python, Agile Methodologies, Digital Marketing, Machine Learning",28,48,Moderate,CA,Moderate,Young,Low,2024
73,6/21/2024,Fort Worth,6.6,3974,"Digital Marketing, SQL, JavaScript",29,71,Moderate,TX,High,Young,High,2024
74,3/9/2024,Indianapolis,5.9,4131,"JavaScript, SQL",36,53,Low,IN,High,Middle-Aged,Moderate,2024
75,10/1/2024,Denver,11.4,1404,"Cybersecurity, Customer Service",25,39,High,CO,Low,Young,Low,2024
76,12/13/2023,Columbus,14.9,1216,"Data Analysis, Cloud Computing, UX/UI Design, JavaScript, Project Management",48,71,Very High,OH,Low,Older,High,2023
77,9/26/2023,Houston,4.2,889,"Sales, Data Analysis, Digital Marketing, SQL, JavaScript",30,78,Low,TX,Low,Young,High,2023
78,3/16/2024,Dallas,7.7,284,"Cloud Computing, Digital Marketing, Agile Methodologies, Machine Learning, Sales",41,64,Moderate,TX,Very Low,Older,Moderate,2024
79,5/9/2025,San Antonio,2.4,4337,"Data Analysis, SQL, JavaScript, Python, Cybersecurity",45,87,Very Low,TX,High,Older,High,2025
80,4/12/2025,Washington,2.6,4469,"Cybersecurity, JavaScript, Customer Service, UX/UI Design, Cloud Computing",37,57,Very Low,DC,High,Middle-Aged,Moderate,2025
81,6/10/2025,Charlotte,7.5,2298,"UX/UI Design, Customer Service, Sales, Cloud Computing",46,62,Moderate,NC,Moderate,Older,Moderate,2025
82,3/11/2024,Charlotte,15,3203,"Data Analysis, Cybersecurity, SQL, Project Management, Sales",50,50,Very High,NC,High,Older,Low,2024
83,10/13/2024,San Antonio,7.7,4373,"Data Analysis, Project Management",40,86,Moderate,TX,High,Middle-Aged,High,2024
84,11/30/2023,Austin,2,303,"Project Management, Python, Customer Service, JavaScript",30,51,Very Low,TX,Very Low,Young,Moderate,2023
85,9/29/2023,Columbus,8.8,1163,"SQL, Customer Service",32,33,Moderate,OH,Low,Middle-Aged,Low,2023
86,7/28/2024,Dallas,14,4904,"UX/UI Design, Cloud Computing",43,70,Very High,TX,Very High,Older,Moderate,2024
87,12/20/2023,Washington,13.6,4415,"Customer Service, Data Analysis, Cloud Computing, SQL, Digital Marketing",33,71,Very High,DC,High,Middle-Aged,High,2023
88,7/24/2025,Seattle,10.6,4274,"Agile Methodologies, Project Management, Machine Learning, Customer Service",46,44,High,WA,High,Older,Low,2025
89,11/26/2024,Los Angeles,13.5,219,"Python, Data Analysis, Project Management",38,81,Very High,CA,Very Low,Middle-Aged,High,2024
90,6/10/2024,Chicago,4.1,1122,"Customer Service, Cloud Computing",36,87,Low,IL,Low,Middle-Aged,High,2024
91,1/13/2024,Seattle,6.3,829,"Project Management, JavaScript, Digital Marketing",32,34,Moderate,WA,Low,Middle-Aged,Low,2024
92,11/6/2023,Denver,7.5,4026,"Project Management, Digital Marketing",38,56,Moderate,CO,High,Middle-Aged,Moderate,2023
93,8/17/2024,Charlotte,5,1280,"Cloud Computing, Sales, Project Management, Customer Service",49,86,Low,NC,Low,Older,High,2024
94,8/7/2023,Seattle,13.7,4251,"Cybersecurity, SQL, UX/UI Design",47,35,Very High,WA,High,Older,Low,2023
95,2/29/2024,Seattle,10.2,2029,"JavaScript, Agile Methodologies",40,55,High,WA,Moderate,Middle-Aged,Moderate,2024
96,7/8/2025,Dallas,6.2,1032,"Cloud Computing, Sales, Machine Learning",37,90,Moderate,TX,Low,Middle-Aged,High,2025
97,2/1/2024,San Diego,11.8,348,"Cybersecurity, Sales, JavaScript, Agile Methodologies, UX/UI Design",39,34,High,CA,Very Low,Middle-Aged,Low,2024
98,9/2/2024,Jacksonville,13.6,3087,"SQL, Machine Learning, Python, Project Management, Sales",25,37,Very High,FL,High,Young,Low,2024
99,11/7/2023,Chicago,2.4,1109,"Project Management, Python, Agile Methodologies",39,62,Very Low,IL,Low,Middle-Aged,Moderate,2023
100,10/12/2023,Fort Worth,5,1116,"JavaScript, Sales, Cybersecurity, Cloud Computing",25,68,Low,TX,Low,Young,Moderate,2023
101,4/9/2025,Washington,7,3567,"Project Management, UX/UI Design, JavaScript, Customer Service",37,38,Moderate,DC,High,Middle-Aged,Low,2025
102,7/20/2025,Dallas,10.8,2858,"Cloud Computing, Agile Methodologies, Python",40,35,High,TX,Moderate,Middle-Aged,Low,2025
103,5/6/2025,Washington,14.3,3423,"Project Management, Data Analysis, Customer Service, JavaScript",45,77,Very High,DC,High,Older,High,2025
104,6/28/2024,Chicago,9.3,4342,"Agile Methodologies, Project Management, UX/UI Design",43,66,High,IL,High,Older,Moderate,2024
105,12/6/2023,San Diego,10,1100,"Cybersecurity, Customer Service, Sales, JavaScript",38,62,High,CA,Low,Middle-Aged,Moderate,2023
106,4/8/2024,Jacksonville,8.4,1929,"Cloud Computing, Agile Methodologies, Project Management, Data Analysis, Digital Marketing",41,71,Moderate,FL,Moderate,Older,High,2024
107,10/4/2023,Houston,4.4,4011,"Cloud Computing, SQL, Python, Project Management",48,42,Low,TX,High,Older,Low,2023
108,11/23/2024,Dallas,5.6,829,"JavaScript, Machine Learning, Digital Marketing, Customer Service",42,71,Low,TX,Low,Older,High,2024
109,12/12/2023,Fort Worth,14.5,3794,"Cybersecurity, Python",39,33,Very High,TX,High,Middle-Aged,Low,2023
110,9/4/2023,San Francisco,7.3,2200,"Cloud Computing, Sales",38,61,Moderate,CA,Moderate,Middle-Aged,Moderate,2023
111,5/30/2024,Jacksonville,8,2604,"Data Analysis, Agile Methodologies, Cybersecurity, JavaScript, Sales",45,70,Moderate,FL,Moderate,Older,Moderate,2024
112,12/1/2023,Indianapolis,5.5,1182,"UX/UI Design, Digital Marketing, SQL, Python",43,66,Low,IN,Low,Older,Moderate,2023
113,9/2/2024,Charlotte,5.6,3238,"Project Management, Customer Service, JavaScript, Data Analysis, Machine Learning",33,69,Low,NC,High,Middle-Aged,Moderate,2024
114,8/22/2023,New York,3.1,1460,"JavaScript, Agile Methodologies, Data Analysis",25,73,Very Low,NY,Low,Young,High,2023
115,12/19/2023,Columbus,11.2,2325,"JavaScript, Sales, Customer Service",28,66,High,OH,Moderate,Young,Moderate,2023
116,1/13/2024,San Francisco,9.2,1592,"Agile Methodologies, Cybersecurity, Data Analysis",49,67,High,CA,Moderate,Older,Moderate,2024
117,2/7/2024,Austin,4.7,4884,"Customer Service, SQL, Agile Methodologies, UX/UI Design",29,70,Low,TX,Very High,Young,Moderate,2024
118,7/7/2025,Philadelphia,10.9,1041,"Python, Project Management, Machine Learning",45,57,High,PA,Low,Older,Moderate,2025
119,5/28/2025,Denver,4.3,843,"Customer Service, Cloud Computing, Machine Learning, JavaScript",49,65,Low,CO,Low,Older,Moderate,2025
120,9/3/2023,Los Angeles,7.7,2318,"Machine Learning, UX/UI Design, Project Management, Python",40,86,Moderate,CA,Moderate,Middle-Aged,High,2023
121,11/25/2023,Washington,13.9,3083,"UX/UI Design, Machine Learning, Python, Sales, Agile Methodologies",25,41,Very High,DC,High,Young,Low,2023
122,12/27/2024,Indianapolis,9,3927,"JavaScript, Sales, Python, SQL, Customer Service",38,63,Moderate,IN,High,Middle-Aged,Moderate,2024
123,1/21/2024,Chicago,7.7,4495,"Cloud Computing, Digital Marketing, Sales, Cybersecurity",30,66,Moderate,IL,High,Young,Moderate,2024
124,6/12/2025,Phoenix,4.5,4281,"Cloud Computing, Agile Methodologies, UX/UI Design, Python",28,67,Low,AZ,High,Young,Moderate,2025
125,7/19/2025,Los Angeles,10.8,4477,"JavaScript, Sales, Project Management, Digital Marketing",50,79,High,CA,High,Older,High,2025
126,5/26/2024,Washington,12.2,2980,"Cloud Computing, Digital Marketing, JavaScript",35,61,Very High,DC,Moderate,Middle-Aged,Moderate,2024
127,10/24/2023,Houston,7.4,2322,"UX/UI Design, Agile Methodologies",48,43,Moderate,TX,Moderate,Older,Low,2023
128,3/23/2025,Denver,10.7,3762,"JavaScript, SQL",33,37,High,CO,High,Middle-Aged,Low,2025
129,4/19/2024,Chicago,11.9,3945,"Project Management, Machine Learning, Agile Methodologies",48,43,High,IL,High,Older,Low,2024
130,8/8/2024,Philadelphia,10.5,2145,"UX/UI Design, Customer Service",37,51,High,PA,Moderate,Middle-Aged,Moderate,2024
131,6/30/2024,Indianapolis,10.2,79,"Agile Methodologies, Customer Service, UX/UI Design",49,66,High,IN,Very Low,Older,Moderate,2024
132,5/28/2025,San Jose,2.3,4197,"Python, Customer Service",36,73,Very Low,CA,High,Middle-Aged,High,2025
133,10/5/2024,Fort Worth,2.8,4464,"Customer Service, Python, Cybersecurity, Sales",44,55,Very Low,TX,High,Older,Moderate,2024
134,9/10/2023,San Antonio,10.3,1355,"JavaScript, UX/UI Design, Digital Marketing",43,76,High,TX,Low,Older,High,2023
135,3/20/2025,Austin,14.3,3838,"Digital Marketing, Customer Service, Cloud Computing, Project Management, Machine Learning",47,44,Very High,TX,High,Older,Low,2025
136,2/2/2024,San Diego,10.3,1498,"SQL, Digital Marketing, Project Management, Cloud Computing, Customer Service",33,31,High,CA,Low,Middle-Aged,Low,2024
137,3/15/2025,San Francisco,2.3,370,"Sales, UX/UI Design",45,88,Very Low,CA,Very Low,Older,High,2025
138,3/22/2024,Los Angeles,4.6,871,"Data Analysis, SQL",49,74,Low,CA,Low,Older,High,2024
139,10/17/2023,San Francisco,13,2235,"Agile Methodologies, Customer Service, JavaScript, Data Analysis",27,63,Very High,CA,Moderate,Young,Moderate,2023
140,12/21/2024,Columbus,10.9,926,"JavaScript, SQL",25,67,High,OH,Low,Young,Moderate,2024
141,11/11/2023,Fort Worth,12.9,708,"JavaScript, UX/UI Design, Data Analysis, Cloud Computing, Python",27,31,Very High,TX,Low,Young,Low,2023
142,5/28/2024,Columbus,13.1,753,"Python, Cloud Computing, Agile Methodologies",39,73,Very High,OH,Low,Middle-Aged,High,2024
143,6/29/2024,Washington,5.9,2943,"Machine Learning, Data Analysis, Project Management, UX/UI Design, Cloud Computing",42,58,Low,DC,Moderate,Older,Moderate,2024
144,8/1/2023,Denver,11.8,500,"Customer Service, Python, Project Management, Machine Learning, UX/UI Design",28,54,High,CO,Very Low,Young,Moderate,2023
145,1/14/2024,Los Angeles,12.4,501,"Customer Service, Cloud Computing",50,75,Very High,CA,Low,Older,High,2024
146,1/16/2025,Austin,6,2169,"UX/UI Design, SQL, Project Management, JavaScript, Cloud Computing",43,47,Low,TX,Moderate,Older,Low,2025
147,2/16/2024,Chicago,7.2,4331,"Project Management, Cybersecurity, JavaScript, Customer Service",38,57,Moderate,IL,High,Middle-Aged,Moderate,2024
148,5/1/2024,San Antonio,12.9,3867,"Customer Service, Agile Methodologies, Data Analysis",43,33,Very High,TX,High,Older,Low,2024
149,1/12/2024,Chicago,4.9,2489,"Cloud Computing, Customer Service, Machine Learning, Cybersecurity, Agile Methodologies",42,48,Low,IL,Moderate,Older,Low,2024
150,12/12/2024,San Jose,7.9,354,"Digital Marketing, UX/UI Design, Cloud Computing, SQL",26,86,Moderate,CA,Very Low,Young,High,2024
151,4/6/2025,Jacksonville,13.3,4075,"Customer Service, Cloud Computing, SQL, Python, Cybersecurity",45,34,Very High,FL,High,Older,Low,2025
152,2/13/2025,Chicago,13,882,"Customer Service, SQL",35,72,Very High,IL,Low,Middle-Aged,High,2025
153,4/13/2025,San Diego,7.1,3760,"Agile Methodologies, Machine Learning",36,59,Moderate,CA,High,Middle-Aged,Moderate,2025
154,1/29/2024,San Diego,2.2,4421,"Customer Service, SQL, UX/UI Design, Data Analysis",30,57,Very Low,CA,High,Young,Moderate,2024
155,1/9/2025,Philadelphia,11,2967,"Project Management, Digital Marketing, Customer Service",42,80,High,PA,Moderate,Older,High,2025
156,11/3/2024,San Jose,7.4,421,"Data Analysis, Project Management, Python, Machine Learning",38,57,Moderate,CA,Very Low,Middle-Aged,Moderate,2024
157,7/19/2024,Austin,10.6,3341,"Cloud Computing, Python, Sales, JavaScript, Agile Methodologies",42,89,High,TX,High,Older,High,2024
158,1/14/2024,San Diego,13.1,1159,"Agile Methodologies, SQL, Cloud Computing, Sales, Data Analysis",38,81,Very High,CA,Low,Middle-Aged,High,2024
159,4/25/2025,San Jose,8.3,3670,"Python, Sales, Cybersecurity, Data Analysis, Digital Marketing",34,57,Moderate,CA,High,Middle-Aged,Moderate,2025
160,6/22/2024,Columbus,12.2,3466,"SQL, Python, Cybersecurity, Digital Marketing, Cloud Computing",25,40,Very High,OH,High,Young,Low,2024
161,5/14/2025,Houston,3.9,1654,"Agile Methodologies, SQL, Sales, Cloud Computing, Data Analysis",36,47,Very Low,TX,Moderate,Middle-Aged,Low,2025
162,10/7/2023,Fort Worth,4.6,4556,"Customer Service, Sales, SQL",38,86,Low,TX,Very High,Middle-Aged,High,2023
163,7/7/2025,Washington,6,2094,"Python, Cybersecurity, Sales, Agile Methodologies",27,34,Low,DC,Moderate,Young,Low,2025
164,4/24/2024,San Antonio,11.1,3857,"UX/UI Design, Cloud Computing, Python, Cybersecurity",25,89,High,TX,High,Young,High,2024
165,5/12/2025,Phoenix,2.5,3570,"Project Management, Cloud Computing, Sales, Agile Methodologies, Python",26,73,Very Low,AZ,High,Young,High,2025
166,5/17/2024,Chicago,2.2,4742,"UX/UI Design, Digital Marketing, Python, Sales",25,63,Very Low,IL,Very High,Young,Moderate,2024
167,7/5/2024,Phoenix,3.3,2933,"Agile Methodologies, Project Management",44,53,Very Low,AZ,Moderate,Older,Moderate,2024
168,5/5/2024,Seattle,11.5,3589,"Agile Methodologies, SQL",31,59,High,WA,High,Middle-Aged,Moderate,2024
169,8/7/2024,Chicago,2.9,4451,"Cybersecurity, Cloud Computing, Machine Learning, Python",43,67,Very Low,IL,High,Older,Moderate,2024
170,8/28/2024,Jacksonville,8.9,4845,"Cloud Computing, Digital Marketing, Sales, SQL, Project Management",39,49,Moderate,FL,Very High,Middle-Aged,Low,2024
171,5/31/2025,Indianapolis,10.9,3157,"Cybersecurity, Sales, Data Analysis",27,30,High,IN,High,Young,Low,2025
172,2/21/2025,Seattle,10.6,3199,"SQL, Project Management",42,74,High,WA,High,Older,High,2025
173,3/25/2024,San Jose,11.5,395,"Sales, UX/UI Design, Data Analysis, Agile Methodologies",43,56,High,CA,Very Low,Older,Moderate,2024
174,7/29/2024,Phoenix,3.9,2535,"Digital Marketing, Project Management",47,65,Very Low,AZ,Moderate,Older,Moderate,2024
175,10/9/2024,San Jose,7.5,2917,"Digital Marketing, Agile Methodologies",39,81,Moderate,CA,Moderate,Middle-Aged,High,2024
176,4/25/2025,Washington,11.1,60,"SQL, Project Management",26,54,High,DC,Very Low,Young,Moderate,2025
177,12/22/2023,Jacksonville,11.4,3795,"Agile Methodologies, Customer Service, Project Management",33,54,High,FL,High,Middle-Aged,Moderate,2023
178,4/15/2025,Columbus,3.9,1771,"UX/UI Design, Cloud Computing, Customer Service, Sales",34,83,Very Low,OH,Moderate,Middle-Aged,High,2025
179,4/1/2025,Denver,11.4,309,"Data Analysis, Cybersecurity, Python",42,57,High,CO,Very Low,Older,Moderate,2025
180,9/8/2023,Dallas,14,1889,"Sales, Customer Service, Project Management, UX/UI Design",44,51,Very High,TX,Moderate,Older,Moderate,2023
181,3/10/2024,Austin,5.1,4997,"Cloud Computing, Project Management, SQL, UX/UI Design, JavaScript",43,31,Low,TX,Very High,Older,Low,2024
182,7/3/2024,Dallas,5.1,1337,"Cloud Computing, Customer Service, Machine Learning, JavaScript, Cybersecurity",43,84,Low,TX,Low,Older,High,2024
183,5/14/2025,Washington,2.2,4719,"Agile Methodologies, Cloud Computing, Customer Service, JavaScript",46,32,Very Low,DC,Very High,Older,Low,2025
184,1/22/2024,Los Angeles,8.9,1796,"Agile Methodologies, Python, Customer Service, Machine Learning, Cloud Computing",34,87,Moderate,CA,Moderate,Middle-Aged,High,2024
185,3/18/2024,Phoenix,10.4,3549,"Cybersecurity, JavaScript, Cloud Computing, Machine Learning",49,62,High,AZ,High,Older,Moderate,2024
186,9/10/2023,Dallas,6.6,1621,"Agile Methodologies, JavaScript, Customer Service",48,40,Moderate,TX,Moderate,Older,Low,2023
187,10/15/2023,Dallas,9.5,4426,"Cloud Computing, Agile Methodologies, Digital Marketing, Data Analysis, JavaScript",29,78,High,TX,High,Young,High,2023
188,9/1/2023,Houston,5.7,3963,"Customer Service, Agile Methodologies, Cybersecurity, UX/UI Design",25,48,Low,TX,High,Young,Low,2023
189,7/8/2024,Seattle,6.3,3509,"Cloud Computing, UX/UI Design, Machine Learning, Sales",40,51,Moderate,WA,High,Middle-Aged,Moderate,2024
190,6/22/2024,Dallas,12.9,502,"Cloud Computing, Data Analysis, UX/UI Design",50,35,Very High,TX,Low,Older,Low,2024
191,7/1/2025,Seattle,9.4,3838,"Agile Methodologies, SQL, Cybersecurity, Python",46,68,High,WA,High,Older,Moderate,2025
192,2/18/2024,Jacksonville,12.8,199,"Machine Learning, SQL, Data Analysis",45,33,Very High,FL,Very Low,Older,Low,2024
193,12/5/2024,New York,3.2,4809,"Python, JavaScript",31,90,Very Low,NY,Very High,Middle-Aged,High,2024
194,9/16/2023,Fort Worth,4.9,164,"Data Analysis, SQL, JavaScript, Machine Learning",50,40,Low,TX,Very Low,Older,Low,2023
195,7/17/2024,San Antonio,10.7,3186,"JavaScript, Cybersecurity, Cloud Computing, Data Analysis",48,51,High,TX,High,Older,Moderate,2024
196,2/21/2025,Charlotte,12.8,3846,"JavaScript, Cloud Computing, Agile Methodologies, Customer Service, Digital Marketing",29,88,Very High,NC,High,Young,High,2025
197,12/22/2024,San Jose,7.6,3388,"Cybersecurity, Digital Marketing",50,58,Moderate,CA,High,Older,Moderate,2024
198,12/27/2023,Los Angeles,13.7,3091,"Cloud Computing, Agile Methodologies",42,60,Very High,CA,High,Older,Moderate,2023
